                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.3274,                0.71979,                 1.1167,                0.91077,                0.74548,                0.79701,                0.33105,                 1.9889,                0.79431,                 1.5151,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.3005,                0.71581,                 1.1021,                 0.9164,                0.75369,                0.81431,                0.32832,                 2.0406,                0.79398,                 1.5422,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.3205,                0.71251,                 1.1095,                0.90195,                0.77011,                0.81165,                0.34208,                 1.9839,                0.78904,                 1.5095,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.3122,                0.70983,                 1.1065,                0.91855,                0.76355,                0.81817,                0.36013,                 1.9148,                0.74932,                 1.4651,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.3113,                0.70213,                 1.0993,                0.93015,                0.76529,                0.82658,                0.38338,                 1.8128,                0.74859,                 1.4072,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.3093,                0.71263,                 1.0967,                 0.9261,                0.76134,                0.82628,                0.39976,                 1.7911,                0.73031,                  1.392,               0.000713,               0.000713,               0.000713
                    132,                 1.3054,                0.69873,                 1.1043,                0.93746,                0.73846,                0.81285,                0.34964,                 1.9413,                0.76766,                 1.4728,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.3368,                0.72279,                 1.1205,                0.91835,                0.74877,                0.82081,                0.36321,                 1.8849,                0.75351,                 1.4458,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.3136,                0.69247,                 1.1103,                0.90941,                0.75369,                0.81932,                0.33419,                 2.0436,                0.77899,                 1.5426,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.2935,                0.71662,                 1.0956,                0.90435,                0.74521,                 0.8087,                0.32822,                  2.017,                0.78597,                 1.5222,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.2851,                0.70323,                 1.0951,                0.92366,                0.76026,                0.83386,                 0.3628,                 1.9055,                0.74415,                 1.4684,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.3051,                0.70838,                 1.1048,                0.93473,                0.75253,                0.82392,                0.38782,                 1.7734,                0.72632,                 1.3935,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.2868,                0.69545,                 1.0909,                0.94489,                0.76026,                0.82515,                0.38438,                 1.8116,                0.71754,                 1.4147,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.3044,                0.69879,                 1.0907,                0.90857,                0.73426,                0.80047,                0.30048,                 2.1177,                0.80167,                 1.6006,              0.0006338,              0.0006338,              0.0006338
                    140,                  1.294,                0.70826,                 1.0986,                0.92235,                0.74548,                0.81819,                0.36412,                 1.9151,                0.75079,                 1.4723,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.2873,                0.69421,                 1.0921,                 0.9136,                 0.7619,                0.82167,                0.34764,                 1.9567,                0.75398,                 1.4914,               0.000614,               0.000614,               0.000614
                    142,                 1.2658,                0.68935,                 1.0757,                 0.9203,                0.75843,                0.82138,                0.36146,                 1.9012,                0.73843,                 1.4667,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.2849,                0.70164,                 1.0843,                0.91789,                0.77099,                0.83058,                0.37795,                 1.8362,                0.72305,                 1.4369,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.2553,                0.69653,                 1.0817,                0.93388,                0.76355,                 0.8264,                0.35778,                 1.9036,                0.74827,                 1.4569,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.2598,                0.68861,                 1.0755,                0.92864,                0.75041,                 0.8218,                0.33243,                 2.0312,                0.77254,                 1.5531,              0.0005744,              0.0005744,              0.0005744
                    146,                 1.2681,                 0.6872,                 1.0871,                0.93036,                0.75862,                0.82519,                0.37365,                 1.8652,                0.72397,                 1.4391,              0.0005645,              0.0005645,              0.0005645
                    147,                 1.2633,                0.69192,                  1.087,                0.92353,                0.75354,                0.82069,                0.35842,                 1.8919,                0.75432,                 1.4451,              0.0005546,              0.0005546,              0.0005546
                    148,                 1.2413,                0.67718,                 1.0719,                0.93595,                0.74387,                0.82459,                0.36392,                 1.9009,                0.73269,                 1.4552,              0.0005447,              0.0005447,              0.0005447
                    149,                 1.2778,                 0.6986,                 1.0857,                0.92533,                0.74713,                0.82519,                0.35431,                 1.9425,                 0.7412,                  1.496,              0.0005348,              0.0005348,              0.0005348
